DomainSkate	{'main_url': ' https://www.domainskate.com/', 'twitter_url': ' https://twitter.com/domainskate?lang=en', 'angellist_url': ' https://angel.co/p/howard-greenstein', 'crunchbase_url': ' https://www.crunchbase.com/organization/domainskate', 'linkedin_url': ' https://www.linkedin.com/company/domainskate', 'facebook_url': ' https://www.facebook.com/DomainSkate/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 0, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 0, 'security': 0, 'blockchain': 0, 'litigation': 1, 'information': 2, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
Empower Legal	{'main_url': ' https://empowerlegal.net/', 'twitter_url': ' https://twitter.com/legalempower', 'angellist_url': ' https://angel.co/legal', 'crunchbase_url': ' https://www.crunchbase.com/organization/empower-2', 'linkedin_url': ' https://www.linkedin.com/company/empower-legal-group-llc', 'facebook_url': ' https://www.facebook.com/empowerlegalgroup/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 11, 'consulting': 0, 'learning': 2, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 0, 'security': 0, 'blockchain': 0, 'litigation': 8, 'information': 3, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 2, 'financials': 0, 'e-signature': 0}
Estate Pass	{'main_url': ' https://info.legalzoom.com/article/what-does-your-estate-mean-when-relative-has-passed-away', 'twitter_url': ' https://help.twitter.com/en/rules-and-policies/contact-twitter-about-a-deceased-family-members-account', 'angellist_url': ' https://angel.co/company/estatesafe-com', 'crunchbase_url': ' https://www.crunchbase.com/organization/estate-pass', 'linkedin_url': ' https://www.linkedin.com/company/propertypass', 'facebook_url': ' https://www.facebook.com/EstateSalesByDeAnne/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 14, 'media': 2, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 1, 'software': 0, 'budgeting': 0, 'analytics': 0, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 1, 'trusts': 1, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 1, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
Evidox	{'main_url': ' https://www.xactdatadiscovery.com/', 'twitter_url': ' https://twitter.com/hashtag/evidox', 'angellist_url': ' http://www.technewsbytes.com/lp/ibm/offerDetails.php?id=7874&ts=1574283376', 'crunchbase_url': ' https://www.crunchbase.com/organization/evidox', 'linkedin_url': ' https://www.linkedin.com/company/evidox', 'facebook_url': ' https://www.facebook.com/pages/category/Local-Business/Evidox-129067633785553/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 1, 'patent': 0, 'software': 1, 'budgeting': 0, 'analytics': 1, 'security': 1, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 1, 'financials': 0, 'e-signature': 0}
File Right	{'main_url': ' https://www.fileright.com/', 'twitter_url': ' https://help.twitter.com/en/rules-and-policies/copyright-policy', 'angellist_url': ' https://help.angel.co/', 'crunchbase_url': ' https://www.crunchbase.com/organization/file-right', 'linkedin_url': ' https://business.linkedin.com/talent-solutions/blog/2014/12/5-tips-for-picking-the-right-linkedin-profile-picture', 'facebook_url': ' https://www.facebook.com/fileright/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 0, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 4, 'budgeting': 0, 'analytics': 0, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
FormSwift	{'main_url': ' https://formswift.com/', 'twitter_url': ' https://twitter.com/formswift?lang=en', 'angellist_url': ' https://angel.co/company/formswift-1/culture', 'crunchbase_url': ' https://www.crunchbase.com/organization/formswift', 'linkedin_url': ' https://www.linkedin.com/company/formswift', 'facebook_url': ' https://www.facebook.com/FormSwift-393792967457973/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 3, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 3, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 2, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 2, 'insurance': 0, 'collaboration': 0, 'freelance': 1, 'enforcement': 0, 'education': 1, 'financials': 0, 'e-signature': 0}
Headnote	{'main_url': ' https://headnote.com/', 'twitter_url': ' https://twitter.com/headnotelaw?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'angellist_url': ' https://angel.co/company/headnote/jobs', 'crunchbase_url': ' https://www.crunchbase.com/organization/headnote', 'linkedin_url': ' https://www.linkedin.com/company/headnote', 'facebook_url': ' https://www.facebook.com/headnotelaw'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 0, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 1, 'security': 2, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
Hello Divorce	{'main_url': ' https://hellodivorce.com/', 'twitter_url': ' https://twitter.com/hellodivorce?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'angellist_url': ' https://angel.co/company/hello-divorce', 'crunchbase_url': ' https://www.crunchbase.com/organization/partways', 'linkedin_url': ' https://www.linkedin.com/company/hello-divorce', 'facebook_url': ' https://www.facebook.com/hellodivorce/'}	{'paperwork': 1, 'fundraising': 0, 'estate': 0, 'media': 3, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 1, 'budgeting': 0, 'analytics': 4, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 1, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
HLP Integration	{'main_url': ' https://hlpintegration.com/', 'twitter_url': ' https://twitter.com/hlpintegration?lang=en', 'angellist_url': ' https://hlpintegration.com/', 'crunchbase_url': ' https://www.crunchbase.com/organization/hlp-integration', 'linkedin_url': ' https://www.linkedin.com/company/hlp-integration', 'facebook_url': ' https://www.facebook.com/hlpintegration/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 1, 'software': 0, 'budgeting': 0, 'analytics': 0, 'security': 0, 'blockchain': 0, 'litigation': 3, 'information': 2, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 1, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
ImmiGo	{'main_url': ' https://www.immigoseat.com/', 'twitter_url': ' https://twitter.com/imminet?lang=en', 'angellist_url': ' https://angel.co/company/immigo', 'crunchbase_url': ' https://www.crunchbase.com/organization/lifeimage', 'linkedin_url': ' https://zw.linkedin.com/company/askellis?trk=recent-update_see-all', 'facebook_url': ' https://www.facebook.com/imminet/posts/exciting-news-you-can-finally-buy-the-immi-go-hybrid-car-seat-online-httpimmigos/864239416928508/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 2, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
