CaseHub	{'twitter_url': ' https://twitter.com/casehub?lang=en', 'angellist_url': ' https://angel.co/company/casehub', 'linkedin_url': ' https://www.linkedin.com/company/casehub'}
CaseRails	{'twitter_url': ' https://twitter.com/caserails?lang=en', 'angellist_url': ' https://angel.co/company/caserails'}
Casetext	{'twitter_url': ' https://twitter.com/casetext?lang=en', 'angellist_url': ' https://angel.co/company/casetext', 'main_url': ' https://casetext.com/'}
CellBreaker	{'angellist_url': ' https://angel.co/company/cellbreaker', 'main_url': ' https://www.cellbreaker.com/'}
Checkr	{'twitter_url': ' https://twitter.com/checkr?lang=en', 'angellist_url': ' https://angel.co/company/checkr', 'main_url': ' https://checkr.com/'}
Clausehound	{'twitter_url': ' https://twitter.com/clausehound?lang=en', 'facebook_url': ' https://www.facebook.com/Clausehound/', 'crunchbase_url': ' https://www.crunchbase.com/organization/clausehound', 'angellist_url': ' https://angel.co/company/clausehound-1', 'linkedin_url': ' https://www.linkedin.com/company/clausehound'}
ClauseMatch	{'twitter_url': ' https://twitter.com/ClauseMatch', 'crunchbase_url': ' https://www.crunchbase.com/organization/clausematch', 'angellist_url': ' https://angel.co/company/clausematch'}
ClearContract	{'twitter_url': ' https://twitter.com/clearcontract?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/clearcontract', 'angellist_url': ' https://angel.co/company/clearcontract'}
ClosingFolders	{'crunchbase_url': ' https://www.crunchbase.com/organization/closing-folders', 'linkedin_url': ' https://ca.linkedin.com/company/closing-folders-inc-'}
Congo	{'twitter_url': ' https://twitter.com/congofriends?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/congo-2', 'angellist_url': ' https://angel.co/company/congohq'}
contnu	{'twitter_url': ' https://twitter.com/continueshow?lang=en', 'facebook_url': ' https://www.facebook.com/ContinueShow/', 'crunchbase_url': ' https://www.crunchbase.com/organization/contnu', 'angellist_url': ' https://angel.co/company/continu', 'linkedin_url': ' https://www.linkedin.com/company/continu-inc-'}
Cited	{'linkedin_url': ' https://www.linkedin.com/company/cited'}
ClearView Social	{'angellist_url': ' https://angel.co/company/clearview-social', 'main_url': ' https://clearviewsocial.com/'}
Contract Cloud	{'twitter_url': ' https://twitter.com/contract_cloud', 'angellist_url': ' https://angel.co/company/contractcloud'}
ContratosApp	{'crunchbase_url': ' http://www.crunchbase.com/organization/contratosapp', 'linkedin_url': ' https://www.linkedin.com/company/contratosapp'}
Cicayda	{'facebook_url': ' https://www.facebook.com/cicayda/', 'angellist_url': ' https://angel.co/company/cicayda', 'linkedin_url': ' https://www.linkedin.com/company/cicayda'}
coparently	{'twitter_url': ' https://twitter.com/coparently?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/coparently', 'angellist_url': ' https://angel.co/company/coparently'}
Justia	{'twitter_url': ' https://twitter.com/justiacom', 'angellist_url': ' https://angel.co/p/justia-1', 'main_url': ' https://www.justia.com/'}
CosmoLex	{'crunchbase_url': ' https://www.crunchbase.com/organization/cosmolex'}
