['passingboxes'],"{'2012': 1, '2016': 4, '2011': 1, '2017': 4, '1970': 1, '1994': 2}"
['Nefelex'],"{'2019': 10, '1920': 1, '2016': 3, '1958': 1}"
['CloudNine'],"{'2007': 8, '2018': 4, '2010': 1, '2013': 1, '2002': 2, '1950': 1}"
['Walkers'],"{'1948': 6, '1989': 4, '2013': 1, '1919': 1, '2014': 2}"
['CheKin'],"{'2010': 1, '2017': 1, '2019': 1, '2015': 3}"
['Prime Clerk'],"{'2013': 3, '2019': 4, '2017': 1}"
['Hukumonline.com'],"{'2000': 1, '1999': 1, '1998': 1, '2019': 4}"
['RightNow'],"{'1997': 2, '2011': 2, '2012': 1, '1990': 2, '1991': 2, '1968': 6, '1970': 3, '2016': 3, '2010': 1, '2013': 4, '1972': 7, '1976': 1, '2015': 1}"
['ZENDOC'],"{'2012': 5, '2018': 1, '2014': 4, '2016': 1}"
['Pixsy'],"{'2014': 8, '2018': 1, '2017': 1, '2015': 1, '2016': 1, '2019': 4}"
['6clicks'],{'2019': 7}
['Lexplique'],"{'2011': 2, '2019': 1, '2016': 2, '2015': 1, '2012': 2, '2013': 4}"
['InfoTrack'],"{'2000': 4, '2012': 4, '2015': 1, '2019': 1, '2017': 1, '2018': 2}"
['Lytt'],"{'2019': 16, '2000': 1, '1920': 1}"
['Kurier'],"{'1945': 2, '1954': 2, '1994': 1, '1959': 1, '1939': 1, '2010': 1}"
['SurePoint Technologies'],"{'1976': 3, '2012': 1, '2018': 1}"
['LexCheck'],"{'2014': 2, '2015': 7, '2016': 1}"
['Red Marker - AI powered compliance'],"{'2013': 2, '2017': 2}"
['Pointer Brand Protection'],"{'2008': 10, '1949': 1, '2017': 1, '1984': 1}"
['Upstock'],"{'2009': 4, '2006': 2, '2008': 2, '2019': 1, '2010': 1, '2012': 2, '2011': 2, '2018': 4}"
['Origin X Capital'],"{'2015': 2, '2016': 5, '2008': 1, '2018': 1, '2007': 1, '1980': 1, '1990': 1, '2000': 1, '2005': 1, '2006': 1}"
['One Legal'],"{'1990': 2, '2017': 2}"
['LeadsOnline'],"{'2000': 2, '2013': 1, '2019': 1, '2012': 1, '2018': 1}"
['UFP Fintech'],"{'2018': 8, '2017': 2, '1900': 1, '2019': 6}"
['RTIwala'],{'2017': 5}
['Intelllex'],{'2015': 2}
['Legility'],"{'1991': 3, '2000': 7, '2019': 2}"
['Bella Professional Services'],"{'2018': 2, '2014': 1, '1991': 1}"
['AuraLawgic'],"{'2012': 1, '2019': 2}"
['CourtListener'],"{'2013': 5, '2019': 3, '2017': 1, '2010': 1, '2018': 1, '2016': 1}"
['Opus 2 International'],"{'2006': 4, '2008': 4, '2016': 4, '1980': 2, '2017': 1}"
['Legaltech'],"{'2017': 1, '2011': 1, '2014': 3, '2018': 1, '2019': 4, '2021': 3}"
['Widr'],"{'1952': 2, '2018': 1, '2015': 1, '1975': 1, '2006': 1}"
['AppRocket'],"{'2018': 4, '1976': 3, '2019': 4}"
['Legalku'],"{'2017': 5, '2019': 5}"
['Divorceify'],"{'2015': 1, '2019': 6}"
['Livesense'],"{'2006': 5, '2015': 3, '2013': 6, '1986': 1, '2018': 4, '2019': 1, '2012': 1, '2005': 1}"
['Loom Analytics'],"{'2015': 4, '2018': 1, '2016': 1, '1992': 1}"
['LeapXpert Ltd'],"{'2016': 1, '2017': 1, '2019': 5}"
['LAWIO'],"{'2009': 1, '2018': 1, '1946': 1, '1930': 1, '1965': 1, '1964': 3, '1942': 1, '2026': 1, '1966': 4}"
['Anwalt.de'],"{'2004': 4, '2016': 3, '2017': 1}"
['Marketly'],"{'1957': 1, '1958': 1, '1993': 1, '1917': 3, '2014': 1, '1971': 1, '1994': 1, '2006': 1, '2016': 1}"
['Stenovate'],{'2018': 3}
['Codekeeper BV'],"{'2015': 1, '2017': 1, '2018': 1, '2016': 3}"
['Sparqa Legal'],{'2016': 4}
['Bryan Cave Leighton Paisner'],"{'2018': 7, '1942': 1}"
['Quiktract'],"{'2018': 4, '2019': 4}"
['CodeREG'],"{'2018': 8, '2019': 3, '2017': 1, '1979': 1}"
['Pensieve'],"{'2016': 2, '2015': 1, '2019': 1, '2018': 1}"
['LawCoin'],"{'2018': 8, '2019': 6}"
['ClearWay Law'],"{'2018': 5, '2019': 1, '1963': 1}"
['Legal Nodes'],{'2010': 1}
['McCarthyFinch'],"{'2019': 4, '2018': 6, '2017': 1}"
['1LAW'],"{'2001': 1, '2021': 2, '2018': 1}"
['Lawtap'],"{'2015': 6, '2016': 1}"
['BlockAxs GmbH'],{'2018': 6}
['GetID'],"{'2019': 4, '2017': 1}"
"['InFront Compliance, Inc.']","{'2018': 9, '2017': 1}"
['ExpressSteuer'],"{'2019': 2, '2021': 1}"
['Whooster'],"{'2013': 2, '2019': 1, '1926': 2}"
['peacefully'],"{'1945': 3, '1990': 1, '1959': 1, '2017': 2, '1950': 1, '2019': 2, '2001': 2, '2009': 2, '1941': 1, '1949': 1}"
['Summize'],"{'2006': 2, '2018': 1, '2011': 3, '2008': 5, '2012': 3, '2016': 1}"
['CEB'],"{'1979': 2, '2005': 1, '1983': 2, '2013': 2, '1947': 6, '2001': 1}"
['LegalPassage'],"{'2013': 6, '2017': 1, '2019': 9, '1940': 1, '1982': 1, '2016': 3, '2015': 2}"
['Legal Automation'],"{'2017': 12, '2018': 4, '2015': 1, '2019': 3, '2001': 1}"
['Cogneesol Inc.'],{'2008': 7}
['Legal One GmbH'],"{'2014': 2, '2016': 1}"
['RegHub'],"{'2018': 4, '2011': 1}"
