coparently	2014	Vancouver, BC, Canada	Online Dispute Resolution -	Unknown	Unknown	coparently is a scheduling and communication tool for divorced & seperated families.	coparently.com	http://twitter.com/coparently	0	https://www.crunchbase.com/organization/coparently?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv	http://www.linkedin.com/company/1320644	http://www.facebook.com/coparently	0
Justia	0	Mountain View, California, United States	0	0	0	Justia is an online platform that provides the community with open access to the law, legal information, and lawyers.	https://www.justia.com	https://twitter.com/justiacom	0	https://www.crunchbase.com/organization/justia	https://www.linkedin.com/company/justia	https://www.facebook.com/justia	Internet, Legal, Legal Tech
Corporate + Startup Law	0	San Francisco, California, United States	0	0	0	Corporate + Startup Law provides experienced, responsive and cost-effective legal advice to clients.	http://www.calcorporatecounsel.com/	https://twitter.com/calcorplaw	0	https://www.crunchbase.com/organization/corporate-startup-law	https://www.linkedin.com/company/california-corporate-counsel/	https://www.facebook.com/CalCorpLaw/	Legal, Legal Tech, Professional Services
Corporize	1900	New York, NY, USA	Marketplace -	Unknown	Unknown	No description yet	www.corporize.com	0	0	http://www.crunchbase.com/organization/docracy	0	0	0
CosmoLex	2006	North Brunswick, NJ, USA	Practice Management -	Service Providers	Legal Service Using Tech	Cloud-Based Practice Management Software	http://www.cosmolex.com/	https://twitter.com/CosmoLexLLC	0	https://www.crunchbase.com/organization/cosmolex?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv	https://www.linkedin.com/company/cosmolex-llc	https://www.facebook.com/Cosmolex-1404647499787062/timeline/	cloud, practice management
counselytics	2013	New York, NY, USA	Analytics -	Service Providers	Legal Tech	The Contractual Genome Project	http://www.counselytics.com/	https://twitter.com/counselytics	https://angel.co/counselytics-2	http://www.crunchbase.com/organization/counselytics	0	0	contracts, analytics, data mining
Court Listener	2010	Berkeley, CA, USA	Legal Research -  Docket retrieval	Service Providers	Legal Service Using Tech	Non-Profit Free Legal Search Engine	https://www.courtlistener.com/	https://twitter.com/courtlistener	0	0	0	0	research
CourtReader	0	Tel Aviv-yafo, Tel Aviv, Israel	0	0	0	CourtReader enables lawyers in Israel to open digitally-signed e-mails from the court system on their smartphone.	http://www.courtreader.co.il/		0	https://www.crunchbase.com/organization/courtreader			Apps, Email, Legal, Legal Tech
CourtSide EDX	0	Toronto, Ontario, Canada	0	0	0	CourtSide EDX is a web-based platform that facilitates the exchange, verification, and management of court documents.	http://www.edxontario.com/	https://twitter.com/CourtSideEDX	0	https://www.crunchbase.com/organization/courtside-edx	https://www.linkedin.com/company/courtside-edx		Document Management, Legal, Legal Tech
Credit Swarm	2012	San Francisco, CA, USA	Document Automation -	Unknown	Unknown	Credit Swarm is a free web application that lets users dispute errors on their credit reports online to all major credit bureaus.	http://creditswarm.herokuapp.com/	https://twitter.com/creditswarm	0	https://www.crunchbase.com/organization/credit-swarm?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv			0
Crowdfunding Compliance Center	0	New City, New York, United States	0	0	0	Crowdfunding Compliance Center is providing small business owners a suite of online resources to facilitate compliance.	http://cfcomply.com/		0	https://www.crunchbase.com/organization/crowdfunding-compliance-center	https://www.linkedin.com/company/crowdfunding-compliance-center-llc		Compliance, Legal, Legal Tech
CrowdLaw	2014	Berkeley, CA, USA	Marketplace -	Unknown	Unknown	CrowdLaw is used by advocates and clients to get the funds they need through easy-to-launch crowdfunding campaigns.	crowdlaw.net	0	0	0	0	0	0
CS Disco	2012	Houston, TX, USA	Practice Management -  Discovery	Service Providers	Legal Tech	Document review done right.	http://www.csdisco.com/	https://twitter.com/CS_Disco	https://angel.co/cs-disco	http://www.crunchbase.com/organization/cs-disco	0	0	documents, document review
DATY	2014	Prague, Czech Republic	Legal Research -	Unknown	Unknown	Using public databases & big data magic, we are doing an ultimate B2B information source about companies most crucial for your business in a form of single feed. It something like Facebook but with your customers (or competitors) instead of friends.	daty.cz	http://twitter.com/datycz	0	https://www.crunchbase.com/organization/daty?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv		http://www.facebook.com/datycz	0
Dealcircle	2014	Copenhagen, Denmark	Document Automation -	Unknown	Unknown	Organize and execute startup investments with speed and at a fraction of the cost.	dealcircle.co	0	0	0	0	0	0
DealSheet	2013	New York, NY, USA	Marketplace -	Individuals	Legal Service Using Tech	Find investment bankers and lawyers with relevant deal experience	http://www.dealsheet.com/		https://angel.co/dealsheet	https://www.crunchbase.com/organization/dealsheet?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv	https://www.linkedin.com/company/dealsheet/		web, find-a-lawyer, investment, banker, deals
Dent	2015	Las Vegas, NV, USA	Document Automation -	Unknown	Unknown	Dent is a mobile App connected to a CMS for lawyers and insurance companies to put the end-user in the driver seat to monitor and take control of his/her insurance claim(s), monitor lawyer progress and medical without making an Appt. and to stop being charged by the minute.	http://dentthefuture.com/	https://twitter.com/dent	0	https://www.crunchbase.com/organization/dent?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv		https://www.facebook.com/DentTheFuture	0
Depot Services, Inc.	2015	Baltimore, MD, USA	Practice Management -	Unknown	Unknown	LegalLogs empowers clients through mobile and desktop interfaces to feed task driven information into their case	legallogs.com	0	0	0	0	0	0
