name	date	hq	category	audience	model	description	main_url	twitter_url	angellist_url	crunchbase_url	linkedin_url	facebook_url	tags	status
DocPro	n/a	n/a	Document Automation	n/a	n/a	Professional Document platform for Individuals and Businesses to Create professional documents and legal contracts effortlessly for FREE.	https://docpro.com	https://twitter.com/DocPro8	https://angel.co/company/docpro-1	https://www.crunchbase.com/organization/docpro	https://www.linkedin.com/company/28685060	https://www.facebook.com/DocProDotCom	Document Preparation, Information Technology, Internet, Legal Tech, Online Portals, Software	active
FilersKeepers	n/a	Amsterdam, Noord-Holland, The Netherlands	Marketplace	n/a	n/a	FilersKeepers is a legal tech company that helps companies decide which retention period to choose per system or document category.	 https://www.filerskeepers.co/	https://twitter.com/filerskeepers?lang=en	https://angel.co/company/filerskeepers	https://www.crunchbase.com/organization/filerskeepers	https://www.linkedin.com/company/filerskeepers/	https://www.facebook.com/pg/filerskeepers/	Compliance, Legal, Legal Tech	active
eifas	n/a	Berlin, Berlin, Germany	Practice Management	n/a	n/a	SaaS Financial Advisory Platform	 https://www.eifas.de/	https://twitter.com/uf_ifas?lang=en	http://angel.co/?src=zr36	https://www.crunchbase.com/organization/eifas	https://www.linkedin.com/company/18355277/admin/	https://www.facebook.com/eifasconsulting/	Accounting, Debt Collections, Financial Services, Information Technology, Legal Tech, Office Administration, SaaS, Software	active
Will 2 Click	n/a	n/a	Compliance	n/a	n/a	Mobile App	https://www.will2click.com/	n/a	n/a	https://www.crunchbase.com/organization/will-2-click	https://www.linkedin.com/company/will-2-click/?viewAsMember=true	n/a	Legal Tech, Mobile Apps	active
AENVI	n/a	Buenos Aires, Distrito Federal, Argentina	Marketplace	n/a	n/a	Legal services marketplace	https://www.aenvi.com.ar	https://twitter.com/aenvi	n/a	https://www.crunchbase.com/organization/aenvi	https://it.linkedin.com/company/aenvi	https://www.facebook.com/AENVIOK/	Legal Tech, Marketplace	inactive
Parallel Solutions	n/a	n/a	Document Automation	n/a	n/a	Parallel is an email automation and information management solution that helps professionals be more productive.	 https://parallel-solutions.com/	n/a	n/a	https://www.crunchbase.com/organization/parallel-solutions	https://www.linkedin.com/company/parallel-so	https://www.facebook.com/ParallelSolutionsERP	Legal Tech, Software	active
Chudnovsky Law	n/a	Newport Beach, California, United States	Marketplace	n/a	n/a	Chudnovsky Law is a criminal defense and plaintiff's personal injury law firm and legal tech investor in Los Angeles and Orange County, CA.	https://toplawyer.law	https://twitter.com/chudnovskylaw?lang=en	n/a	https://www.crunchbase.com/organization/chudnovsky-law	https://www.linkedin.com/in/crimigration/	https://www.facebook.com/chudnovskylaw	Advice, Legal, Legal Tech	active
Crefovi	n/a	Paris, Ile-de-France, France	Marketplace	n/a	n/a	Crefovi, a London & Paris law firm specialised in advising the creative industries wherever they are in the world.	 https://crefovi.com/	https://twitter.com/crefovi?lang=en	n/a	https://www.crunchbase.com/organization/crefovi	https://www.linkedin.com/company/crefovi	https://www.facebook.com/crefovi	Consulting, Digital Entertainment, Fashion, Law Enforcement, Legal, Legal Tech, Music, Product Design	inactive
Uitelkaar.nl	n/a	The Hague, Zuid-Holland, The Netherlands	Marketplace	n/a	n/a	uitelkaar.nl's purpose is to support couples in the emotional period of separation.	 https://uitelkaar.nl/	https://twitter.com/uitelkaarnl?lang=en	n/a	https://www.crunchbase.com/organization/uitelkaar-nl	https://www.linkedin.com/company/uitelkaar-nl	https://www.facebook.com/pg/Uitelkaarnl-107906766696944	Information Technology, Legal, Legal Tech, Professional Services, Software	active
Abogados NOW	n/a	Long Beach, California, United States	Marketplace	n/a	n/a	Bilingual Digital Marketing Consultancy for Attorneys	https://home.abogadosnow.com/v1/	https://twitter.com/abogados_now	n/a	https://www.crunchbase.com/organization/abogados-now	n/a	https://www.facebook.com/abogadosnow/	Advertising, Legal, Legal Tech, Mobile Advertising	active
id est avocats	n/a	Lausanne, Vaud, Switzerland	Practice Management	n/a	n/a	Swiss based boutique law firm providing expert advice in innovation, tech, media, advertising, corporate transactions, IP and privacy	https://idest.pro	https://twitter.com/idestavocats?lang=en	https://angel.co/company/id-est-avocats	https://www.crunchbase.com/organization/id-est-avocats-2	https://www.linkedin.com/company/id-est-avocats/	https://www.facebook.com/pages/category/Lawyer---Law-Firm/Id-Est-Avocats-S%C3%A0rl-261947503894617/	Advice, FinTech, Legal, Legal Tech, Life Science, Venture Capital	active
Draftr	n/a	n/a	Marketplace	n/a	n/a	Draftr is a SaaS platform for lawyers that enables collaboration and sharing of practice materials and information.	http://draftr.app/cgi-sys/defaultwebpage.cgi	https://twitter.com/draftrmedia?lang=en	n/a	https://www.crunchbase.com/organization/lawmentum	https://www.linkedin.com/company/draftrapp/	https://www.facebook.com/Draftr-311194763003057/	Communities, Crowdsourcing, Legal Tech, SaaS, Software	inactive
Environmental Health Coalition	n/a	National City, California, United States	Marketplace	n/a	n/a	Environmental Health Coalition is a legaltech company.	https://www.environmentalhealth.org	n/a	n/a	https://www.crunchbase.com/organization/environmental-health-coalition	n/a	https://www.facebook.com/EHCSanDiego	Legal, Legal Tech	active
LEXAI	n/a	São Paulo, Sao Paulo, Brazil	Marketplace	n/a	n/a	Contract Review Platform	https://www.lexai.legal	n/a	n/a	https://www.crunchbase.com/organization/lexai	n/a	n/a	Artificial Intelligence, Legal Tech	inactive
Coretext	n/a	Tel Aviv, Tel Aviv, Israel	Marketplace	n/a	n/a	Coretext is a stealth-mode B2B SaaS company that helps businesses on how they should manage their legal affairs.	https://www.coretext.com	https://twitter.com/coretext_au?lang=en	n/a	https://www.crunchbase.com/organization/coretext-technologies	https://www.linkedin.com/company/coretext/	https://www.facebook.com/coretext/	B2B, Legal Tech, Productivity Tools, Risk Management, SaaS	active
FilingMantra	n/a	Hyderabad, Andhra Pradesh, India	Document Automation	n/a	n/a	Filing Mantra is online tax filing platform for small business, freelancers, and individuals.	https://www.filingmantra.com	https://twitter.com/filing_mantra	https://angel.co/company/filingmantra	https://www.crunchbase.com/organization/filingmantra	https://www.linkedin.com/company/filingmantra-com/	https://www.facebook.com/filingmantra/	Financial Services, FinTech, Legal, Legal Tech, Software	inactive
Jurimetric	n/a	Curitiba, Parana, Brazil	Analytics	n/a	n/a	Jurimetric is a web platform with several resources to make informed decisions in law through statistics applied to jurisprudence.	http://jurimetric.com.br	https://twitter.com/jurimetric?lang=en	n/a	https://www.crunchbase.com/organization/jurimetric	https://www.linkedin.com/company/jurimetric/	https://www.facebook.com/jurimetric/	B2B, Data Center, Legal, Legal Tech, Sales	inactive
DadPardaz	n/a	Mashhad, Khorasan, Iran	Marketplace	n/a	n/a	DadPardaz is an online two-sided marketplace which connects lawyers to clients who need legal services.	 https://dadpardaz.com/	https://twitter.com/dadpardaz	https://angel.co/company/dadpardaz	https://www.crunchbase.com/organization/dadpardaz	https://www.linkedin.com/company/dadpardaz/	https://www.facebook.com/dadpardazcom/	B2B, B2C, Contact Management, Legal, Legal Tech, Marketplace, Professional Services, Sharing Economy	active
LexDock	n/a	Golden, Colorado, United States	Marketplace	n/a	n/a	SAAS Marketplace for Legal Services and Matter Management connecting Business to Specialized Legal Practioners	n/a	https://twitter.com/lexdock?lang=en	n/a	n/a	https://www.linkedin.com/company/lexdock/	https://www.facebook.com/LexDock-101517017865965/	Legal, Legal Tech, Marketplace	active
Patent Digest	n/a	New York, New York, United States	Document Automation	n/a	n/a	Patent digest offers artificial Intelligence based services for patent tracking, search and lawyer recommendation.	n/a	https://twitter.com/patentdigest	n/a	n/a	https://www.linkedin.com/company/patent-digest	n/a	Artificial Intelligence, Data Mining, Information Services, Legal, Legal Tech, Machine Learning, Natural Language Processing	active
Politico Group	n/a	Sacramento, California, United States	Marketplace	n/a	n/a	Politico Group is a consulting company that specializes in non-partisan, full service public affairs, legislative advocacy.	 https://politicogroup.com/	https://twitter.com/politico?lang=en	n/a	https://www.crunchbase.com/organization/politico-group	https://www.linkedin.com/company/politico-group/about/	n/a	Consulting, Legal Tech, Professional Services	active
Legal Innovators	n/a	Washington, District of Columbia, United States	Marketplace	n/a	n/a	Legal Innovators, a legal service provider that changes the way the law approaches hiring, pricing, and diversity of junior legal talent.	 https://www.legal-innovators.com/	https://twitter.com/LegalInnovators	n/a	https://www.crunchbase.com/organization/legal-innovators	https://www.linkedin.com/company/legal-innovators	https://twitter.com/LegalInnovators	Law Enforcement, Legal, Legal Tech	active
Tod.d: Your Virtual Chief of Staff	n/a	n/a	Practice Management	n/a	n/a	Virtual Business Operations Management for Law Firms	http://www.myvirtualtodd.com	n/a	n/a	https://www.crunchbase.com/organization/tod-d-your-virtual-chief-of-staff	https://www.linkedin.com/company/toddconsulting	https://www.facebook.com/toddconsulting	Accounting, Consulting, Finance, Human Resources, Internet, Legal Tech, Office Administration, Outsourcing, Scheduling, Travel	active
LCM Finance	n/a	Sydney, New South Wales, Australia	Compliance	n/a	n/a	LCM Finance specialize in providing litigation finance for companies and individuals for recovery of funds for legal claims.	 https://www.lcmfinance.com/	n/a	n/a	https://www.crunchbase.com/organization/lcm-finance	https://www.linkedin.com/company/lcm-finance	https://www.facebook.com/pages/LCM-Financial/428296240675900	Legal, Legal Tech	active
Berkman Solutions	n/a	Portland, Oregon, United States	Document Automation	n/a	n/a	Provides Lextree, the web application for legal professionals to manage legal entities, contracts, board of directors, compliance, and risk.	n/a	n/a	n/a	n/a	https://www.linkedin.com/company/berkman-solutions	https://www.facebook.com/berkmansolutions/	Compliance, Document Management, Legal Tech, Risk Management, Software	active
Sem Processo	n/a	Rio De Janeiro, Rio de Janeiro, Brazil	Marketplace	n/a	n/a	Sem Processo provides legal solutions for companies.	 https://www.semprocesso.com.br/	https://twitter.com/sprocesso	n/a	https://www.crunchbase.com/organization/sem-processo	https://www.linkedin.com/company/sem-processo/	https://www.facebook.com/semprocesso	Business Information Systems, Business Intelligence, Consulting, Information Technology, Internet, Legal, Legal Tech, Management Consulting	active
